"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Damien Harris","NE","RB80","44.9","185.7","1.3","8.6","69.7","0.3","0.2","34.3"
"Jesper Horsted","CHI","TE46","0.0","0.0","0.0","28.0","260.0","2.0","2.0","34.0"
"Andy Isabella","ARI","WR113","3.8","19.4","0.1","16.9","219.3","1.5","0.1","33.2"
"Demarcus Robinson","KC","WR114","0.0","0.0","0.0","16.9","223.3","1.8","0.1","33.0"
"Trey Burton","IND","TE47","0.0","0.0","0.0","23.1","219.7","1.8","0.1","32.8"
"Patrick Laird","MIA","RB81","20.8","84.7","0.4","22.2","175.1","0.7","0.2","32.6"
"Scott Miller","TB","WR115","0.0","0.0","0.0","16.8","226.5","1.7","0.1","32.3"
"Josh Oliver","JAC","TE48","0.0","0.0","0.0","22.7","229.4","1.6","0.6","31.2"
"Justice Hill","BAL","RB82","43.6","168.0","1.2","8.5","68.2","0.2","0.5","31.0"
"Jake Kumerow","GB","WR116","0.0","0.0","0.0","16.4","225.2","1.4","0.1","30.5"
"Ryan Nall","CHI","RB83","38.2","159.2","1.0","8.8","69.0","0.3","0.2","30.4"
"Marcedes Lewis","GB","TE49","0.0","0.0","0.0","19.6","202.2","1.7","0.0","30.4"
"Jaeden Graham","ATL","TE50","0.0","0.0","0.0","18.4","220.7","1.3","0.1","30.0"
"Matt LaCosse","NE","TE51","0.0","0.0","0.0","20.9","223.3","1.2","0.1","29.6"
"Jakobi Meyers","NE","WR117","0.0","0.0","0.0","17.5","226.2","1.2","0.1","29.3"
"Jesse James","DET","TE52","0.0","0.0","0.0","22.0","220.1","1.2","0.0","29.2"
"James O'Shaughnessy","JAC","TE53","0.0","0.0","0.0","18.7","186.1","1.7","0.0","28.9"
"Jalen Hurd","SF","WR118","9.3","55.6","0.3","12.0","156.4","1.1","0.1","28.9"
"Maxx Williams","ARI","TE54","0.0","0.0","0.0","17.4","185.1","1.5","0.0","27.4"
"Josh Hill","NO","TE55","0.0","0.0","0.0","17.6","158.3","1.9","0.1","27.0"
"Drew Sample","CIN","TE56","0.0","0.0","0.0","20.5","195.0","1.4","0.5","26.6"
"Lamical Perine","NYJ","RB84","57.0","197.0","1.0","3.0","26.0","0.0","1.0","26.3"
"Logan Thomas","WAS","TE57","0.0","0.0","0.0","19.6","195.7","1.1","0.1","26.1"
"Qadree Ollison","ATL","RB85","35.7","129.8","1.9","1.7","14.4","0.1","0.1","25.7"
"Dalton Schultz","DAL","TE58","0.0","0.0","0.0","16.8","180.1","1.3","0.1","25.5"
"Andre Patton","LAC","WR119","0.0","0.0","0.0","14.5","189.6","1.1","0.1","25.3"
"Jeff Wilson","SF","RB86","29.1","117.4","1.9","1.4","15.3","0.1","0.1","25.0"
"DeAndre Washington","KC","RB87","23.7","102.0","1.3","7.0","55.6","0.2","0.1","24.8"
"Virgil Green","LAC","TE59","0.0","0.0","0.0","14.8","156.8","1.5","0.0","24.4"
"Ricky Seals-Jones","KC","TE60","0.0","0.0","0.0","7.1","111.7","2.2","0.0","24.3"
"Jacob Hollister","SEA","TE61","0.0","0.0","0.0","16.6","160.6","1.3","0.0","24.1"
"Taysom Hill","NO","QB1","0.0","0.0","0.0","14.9","162.6","1.4","0.3","23.8"
"Darrel Williams","KC","RB88","27.0","85.0","2.0","3.0","32.0","0.0","0.0","23.7"
"Mo Alie-Cox","IND","TE62","0.0","0.0","0.0","14.5","186.4","0.8","0.0","23.7"
